r p_exact_tree p_approx_tree p_cosamp p_l1 p_greedy_largest_tree
2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.200000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.400000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.600000e+00 3.900000e-01 3.000000e-02 0.000000e+00 0.000000e+00 3.900000e-01
2.800000e+00 9.400000e-01 8.000000e-01 0.000000e+00 0.000000e+00 1.000000e+00
3.000000e+00 9.900000e-01 9.800000e-01 0.000000e+00 0.000000e+00 9.800000e-01
3.200000e+00 9.800000e-01 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
3.400000e+00 9.900000e-01 1.000000e+00 7.000000e-02 0.000000e+00 1.000000e+00
3.600000e+00 9.900000e-01 1.000000e+00 1.500000e-01 1.000000e-02 9.900000e-01
3.800000e+00 1.000000e+00 1.000000e+00 2.800000e-01 3.000000e-02 1.000000e+00
4.000000e+00 1.000000e+00 1.000000e+00 6.000000e-01 1.600000e-01 1.000000e+00
4.200000e+00 1.000000e+00 1.000000e+00 7.000000e-01 3.200000e-01 1.000000e+00
4.400000e+00 1.000000e+00 1.000000e+00 8.600000e-01 5.500000e-01 1.000000e+00
4.600000e+00 1.000000e+00 1.000000e+00 9.300000e-01 7.600000e-01 1.000000e+00
4.800000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.500000e-01 1.000000e+00
5.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 9.600000e-01 1.000000e+00
5.200000e+00 1.000000e+00 1.000000e+00 1.000000e+00 9.800000e-01 1.000000e+00
5.400000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.600000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
5.800000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
6.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
